0,'unknown','unknown'
'[''#1'']','[''adrian'']','[''enhancement'']'
'[''#2'']','[''anonymous'']','[''defect'']'
'[''#3'']','[''adrian'']','[''enhancement'']'
'[''#4'']','[''adrian'']','[''enhancement'']'
'[''#5'']','[''adrian'']','[''enhancement'']'
'[''#6'']','[''adrian'']','[''defect'']'
'[''#7'']','[''wilson'']','[''defect'']'
'[''#8'']','[''adrian'']','[''defect'']'
9,'unknown','unknown'
'[''#10'']','[''adrian'']','[''task'']'
'[''#11'']','[''adrian'']','[''defect'']'
'[''#12'']','[''adrian'']','unknown'
'[''#13'']','[''adrian'']','[''New feature'']'
'[''#14'']','[''adrian'']','[''defect'']'
'[''#15'']','[''adrian'']','[''defect'']'
'[''#16'']','[''adrian'']','unknown'
'[''#17'']','[''adrian'']','[''New feature'']'
'[''#18'']','[''adrian'']','[''enhancement'']'
'[''#19'']','[''adrian'']','[''enhancement'']'
'[''#20'']','[''adrian'']','[''enhancement'']'
'[''#21'']','[''adrian'']','[''enhancement'']'
'[''#22'']','[''adrian'']','[''defect'']'
'[''#23'']','[''adrian'']','[''New feature'']'
'[''#24'']','[''adrian'']','[''defect'']'
'[''#25'']','[''adrian'']','[''Bug'']'
'[''#26'']','[''adrian'']','[''Uncategorized'']'
'[''#27'']','[''adrian'']','[''New feature'']'
'[''#28'']','[''adrian'']','[''enhancement'']'
'[''#29'']','[''adrian'']','[''Bug'']'
'[''#30'']','[''jacob'']','[''defect'']'
'[''#31'']','unknown','[''defect'']'
'[''#32'']','[''Martin'']','[''defect'']'
'[''#33'']','[''anonymous'']','[''defect'']'
'[''#34'']','[''deelan'']','[''defect'']'
'[''#35'']','[''JZ'']','[''defect'']'
'[''#36'']','[''james'']','[''defect'']'
'[''#37'']','unknown','[''defect'']'
'[''#38'']','unknown','[''enhancement'']'
'[''#39'']','[''adrian'']','[''defect'']'
'[''#40'']','unknown','[''defect'']'
'[''#41'']','unknown','[''enhancement'']'
'[''#42'']','unknown','[''defect'']'
'[''#43'']','unknown','[''defect'']'
'[''#44'']','[''deelan'']','[''defect'']'
'[''#45'']','[''Simon Willison'']','[''defect'']'
'[''#46'']','[''Umair'']','[''defect'']'
'[''#47'']','[''Simon Willison'']','[''defect'']'
'[''#48'']','[''Simon Willison'']','[''defect'']'
'[''#49'']','[''Simon Willison'']','[''defect'']'
'[''#50'']','unknown','[''defect'']'
'[''#51'']','unknown','[''enhancement'']'
'[''#52'']','[''Dobbes'']','[''defect'']'
'[''#53'']','[''Dobbes'']','[''defect'']'
'[''#54'']','[''james'']','[''defect'']'
'[''#55'']','[''james'']','[''defect'']'
'[''#56'']','unknown','[''New feature'']'
'[''#57'']','unknown','[''defect'']'
'[''#58'']','unknown','[''defect'']'
'[''#59'']','unknown','[''defect'']'
'[''#60'']','[''anonymous'']','[''defect'']'
'[''#61'']','[''adrian'']','[''enhancement'']'
'[''#62'']','[''adrian'']','[''enhancement'']'
'[''#63'']','[''adrian'']','[''enhancement'']'
'[''#64'']','[''adrian'']','[''enhancement'']'
'[''#65'']','unknown','[''enhancement'']'
'[''#66'']','[''slashzero'']','[''defect'']'
'[''#67'']','[''mmarshall at myrealbox dot com'']','[''enhancement'']'
'[''#68'']','unknown','[''defect'']'
'[''#69'']','unknown','[''enhancement'']'
'[''#70'']','unknown','[''defect'']'
'[''#71'']','unknown','[''defect'']'
'[''#72'']','[''anonymous'']','[''defect'']'
'[''#73'']','unknown','[''enhancement'']'
'[''#74'']','[''wilson'']','[''defect'']'
'[''#75'']','[''slashzero'']','[''defect'']'
'[''#76'']','[''adrian'']','[''defect'']'
'[''#77'']','unknown','[''enhancement'']'
'[''#78'']','unknown','[''enhancement'']'
'[''#79'']','unknown','[''defect'']'
'[''#80'']','unknown','[''defect'']'
'[''#81'']','unknown','[''defect'']'
'[''#82'']','unknown','[''defect'']'
'[''#83'']','unknown','[''defect'']'
'[''#84'']','[''Manuzhai'']','[''defect'']'
'[''#85'']','unknown','[''defect'']'
'[''#86'']','[''anonymous'']','[''defect'']'
'[''#87'']','unknown','[''enhancement'']'
'[''#88'']','[''mmarshall'']','[''defect'']'
'[''#89'']','unknown','[''defect'']'
'[''#90'']','[''adrian'']','[''enhancement'']'
'[''#91'']','[''mmarshall'']','[''enhancement'']'
'[''#92'']','[''adrian'']','[''defect'']'
'[''#93'']','unknown','[''defect'']'
'[''#94'']','[''Joey Marshall'']','[''defect'']'
'[''#95'']','[''Simon Willison'']','[''defect'']'
'[''#96'']','[''Simon Willison'']','unknown'
'[''#97'']','[''adrian'']','[''defect'']'
'[''#98'']','[''Simon Willison'']','[''enhancement'']'
'[''#99'']','unknown','[''enhancement'']'
'[''#100'']','unknown','[''defect'']'
'[''#101'']','unknown','[''enhancement'']'
'[''#102'']','unknown','[''defect'']'
'[''#103'']','[''Simon Willison'']','[''defect'']'
'[''#104'']','[''hugo'']','[''defect'']'
'[''#105'']','[''paolo'']','[''enhancement'']'
'[''#106'']','[''paolo'']','[''defect'']'
'[''#107'']','unknown','[''defect'']'
'[''#108'']','[''verbosus'']','[''defect'']'
'[''#109'']','[''Manuzhai'']','[''defect'']'
'[''#110'']','[''maurycy'']','[''enhancement'']'
'[''#111'']','[''Manuzhai'']','[''defect'']'
'[''#112'']','unknown','[''defect'']'
'[''#113'']','[''Jason Huggins'']','[''defect'']'
'[''#114'']','unknown','[''defect'']'
'[''#115'']','[''maurycy'']','[''enhancement'']'
'[''#116'']','unknown','[''Uncategorized'']'
'[''#117'']','[''Simon Willison'']','[''enhancement'']'
'[''#118'']','[''Simon Willison'']','[''defect'']'
'[''#119'']','unknown','[''enhancement'']'
